"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20250701","경원선","창동","9","0","20250704",""
"20250701","장항선","쌍용(나사렛대)","2260","2155","20250704",""
"20250701","장항선","아산","3313","3113","20250704",""
"20250701","장항선","탕정","1969","1778","20250704",""
"20250701","장항선","배방","1260","1204","20250704",""
"20250701","장항선","온양온천","3994","4092","20250704",""
"20250701","장항선","신창(순천향대)","1259","1275","20250704",""
"20250701","중앙선","회기","25941","24938","20250704",""
"20250701","중앙선","중랑","5897","5588","20250704",""
"20250701","중앙선","상봉","6057","5958","20250704",""
"20250701","중앙선","망우","7871","7674","20250704",""
"20250701","중앙선","양원","3584","3566","20250704",""
"20250701","중앙선","구리","8187","8546","20250704",""
"20250701","중앙선","도농","10304","9371","20250704",""
"20250701","중앙선","양정","543","435","20250704",""
"20250701","중앙선","덕소","5519","5521","20250704",""
"20250701","중앙선","도심","2763","2198","20250704",""
"20250701","중앙선","팔당","716","751","20250704",""
"20250701","중앙선","운길산","589","579","20250704",""
"20250701","중앙선","양수","1942","1989","20250704",""
"20250701","중앙선","신원","170","162","20250704",""
"20250701","중앙선","국수","773","708","20250704",""
"20250701","중앙선","아신","517","562","20250704",""
"20250701","중앙선","오빈","315","333","20250704",""
"20250701","중앙선","양평","3180","3296","20250704",""
"20250701","중앙선","원덕","359","367","20250704",""
"20250701","중앙선","용문","2032","1930","20250704",""
"20250701","중앙선","지평","60","75","20250704",""
"20250701","5호선","방화","7704","7391","20250704",""
"20250701","1호선","서울역","70036","65865","20250704",""
"20250701","1호선","시청","28433","28446","20250704",""
"20250701","1호선","종각","43083","42709","20250704",""
"20250701","1호선","종로3가","24383","21878","20250704",""
"20250701","1호선","종로5가","24977","24475","20250704",""
"20250701","1호선","동대문","11811","11239","20250704",""
"20250701","1호선","신설동","15254","14516","20250704",""
"20250701","1호선","제기동","16338","16648","20250704",""
"20250701","1호선","청량리(서울시립대입구)","22778","22288","20250704",""
"20250701","1호선","동묘앞","8946","9082","20250704",""
"20250701","2호선","시청","29949","29053","20250704",""
"20250701","2호선","을지로입구","53750","56097","20250704",""
"20250701","2호선","을지로3가","27614","27655","20250704",""
"20250701","2호선","을지로4가","16216","16062","20250704",""
"20250701","2호선","동대문역사문화공원(DDP)","15957","18240","20250704",""
"20250701","2호선","신당","15723","16401","20250704",""
"20250701","2호선","상왕십리","15829","15889","20250704",""
"20250701","2호선","왕십리(성동구청)","16512","14761","20250704",""
"20250701","2호선","한양대","11372","12107","20250704",""
"20250701","2호선","뚝섬","26538","28481","20250704",""
"20250701","2호선","성수","50479","54170","20250704",""
"20250701","2호선","건대입구","35247","36618","20250704",""
"20250701","2호선","구의(광진구청)","29497","28882","20250704",""
"20250701","2호선","강변(동서울터미널)","27048","24084","20250704",""
"20250701","2호선","잠실나루","16626","16155","20250704",""
"20250701","2호선","잠실(송파구청)","79355","78835","20250704",""
"20250701","2호선","잠실새내","26600","25654","20250704",""
"20250701","2호선","종합운동장","18706","21556","20250704",""
"20250701","2호선","삼성(무역센터)","61403","62256","20250704",""
"20250701","2호선","선릉","68146","59797","20250704",""
"20250701","2호선","역삼","60091","67968","20250704",""
"20250701","2호선","강남","90388","88733","20250704",""
"20250701","2호선","교대(법원.검찰청)","34622","41206","20250704",""
"20250701","2호선","서초","24360","24044","20250704",""
"20250701","2호선","방배","17365","17847","20250704",""
"20250701","2호선","사당","42697","45865","20250704",""
"20250701","2호선","낙성대(강감찬)","30020","29172","20250704",""
"20250701","2호선","서울대입구(관악구청)","49595","48348","20250704",""
"20250701","2호선","봉천","27427","25863","20250704",""
"20250701","2호선","신림","58006","57243","20250704",""
"20250701","2호선","신대방","26842","25940","20250704",""
"20250701","2호선","구로디지털단지","63583","63406","20250704",""
"20250701","2호선","대림(구로구청)","25831","26469","20250704",""
"20250701","2호선","신도림","51467","49034","20250704",""
"20250701","2호선","문래","26170","26721","20250704",""
"20250701","2호선","영등포구청","25310","26118","20250704",""
"20250701","2호선","당산","19890","22953","20250704",""
"20250701","2호선","합정","31758","34256","20250704",""
"20250701","2호선","홍대입구","66004","69968","20250704",""
"20250701","2호선","신촌","38555","38645","20250704",""
"20250701","2호선","이대","16585","18213","20250704",""
"20250701","2호선","아현","11777","11090","20250704",""
"20250701","2호선","충정로(경기대입구)","11304","11864","20250704",""
"20250701","2호선","용답","3119","3110","20250704",""
"20250701","2호선","신답","1797","2089","20250704",""
"20250701","2호선","신설동","3469","3495","20250704",""
"20250701","2호선","도림천","1540","1639","20250704",""
"20250701","2호선","양천구청","7418","7857","20250704",""
"20250701","2호선","신정네거리","10869","11231","20250704",""
"20250701","2호선","용두(동대문구청)","2767","2778","20250704",""
"20250701","3호선","지축","8162","8351","20250704",""
"20250701","3호선","구파발","23589","22618","20250704",""
"20250701","3호선","연신내","37794","35879","20250704",""
"20250701","3호선","불광","17632","18850","20250704",""
"20250701","3호선","녹번","16440","15171","20250704",""
"20250701","3호선","홍제","18845","17856","20250704",""
"20250701","3호선","무악재","4569","4776","20250704",""
"20250701","3호선","독립문","8103","8165","20250704",""
"20250701","3호선","경복궁(정부서울청사)","24866","24404","20250704",""
"20250701","3호선","안국","27552","28224","20250704",""
"20250701","3호선","종로3가","12058","13366","20250704",""
"20250701","3호선","을지로3가","13117","13018","20250704",""
"20250701","3호선","충무로","9","0","20250704",""
"20250701","3호선","동대입구","9379","10056","20250704",""
"20250701","3호선","약수","13436","13133","20250704",""
"20250701","3호선","금호","8561","7996","20250704",""
"20250701","3호선","옥수","9510","9793","20250704",""
"20250701","3호선","압구정","34452","36466","20250704",""
"20250701","3호선","신사","29349","30685","20250704",""
"20250701","3호선","잠원","6092","5974","20250704",""
"20250701","3호선","고속터미널","44420","41474","20250704",""
"20250701","3호선","교대(법원.검찰청)","18246","10734","20250704",""
"20250701","3호선","남부터미널(예술의전당)","31843","32385","20250704",""
"20250701","3호선","양재(서초구청)","41678","44438","20250704",""
"20250701","3호선","매봉","14358","14030","20250704",""
"20250701","3호선","도곡","6858","6661","20250704",""
"20250701","3호선","대치","13420","13316","20250704",""
"20250701","3호선","학여울","2158","2161","20250704",""
"20250701","3호선","대청","12641","11710","20250704",""
"20250701","3호선","일원","12855","12508","20250704",""
"20250701","3호선","수서","19780","19516","20250704",""
"20250701","3호선","가락시장","9877","9539","20250704",""
"20250701","3호선","경찰병원","8368","8516","20250704",""
"20250701","3호선","오금","7424","6446","20250704",""
"20250701","4호선","불암산","10431","9194","20250704",""
"20250701","4호선","상계","20973","19847","20250704",""
"20250701","4호선","노원","21367","23539","20250704",""
"20250701","4호선","창동","28423","29800","20250704",""
"20250701","4호선","쌍문","31380","29438","20250704",""
"20250701","4호선","수유(강북구청)","35757","36000","20250704",""
"20250701","4호선","미아(서울사이버대학)","16741","16082","20250704",""
"20250701","4호선","미아사거리","27717","27187","20250704",""
"20250701","4호선","길음","22968","22396","20250704",""
"20250701","4호선","성신여대입구(돈암)","21890","21506","20250704",""
"20250701","4호선","한성대입구(삼선교)","14792","14139","20250704",""
"20250701","4호선","혜화","35851","35841","20250704",""
"20250701","4호선","동대문","20760","21190","20250704",""
"20250701","4호선","동대문역사문화공원(DDP)","20696","18304","20250704",""
"20250701","4호선","충무로","33426","34385","20250704",""
"20250701","4호선","명동","32827","35057","20250704",""
"20250701","4호선","회현(남대문시장)","30395","31201","20250704",""
"20250701","4호선","서울역","13809","21543","20250704",""
"20250701","4호선","숙대입구(갈월)","15383","15128","20250704",""
"20250701","4호선","삼각지(전쟁기념관)","6758","7662","20250704",""
"20250701","4호선","신용산","22255","24196","20250704",""
"20250701","4호선","이촌(국립중앙박물관)","10111","11067","20250704",""
"20250701","4호선","동작(현충원)","1992","2018","20250704",""
"20250701","4호선","총신대입구(이수)","20942","22556","20250704",""
"20250701","4호선","사당","25873","22603","20250704",""
"20250701","4호선","남태령","1425","1108","20250704",""
"20250701","5호선","개화산","6660","6350","20250704",""
"20250701","5호선","김포공항","12607","7919","20250704",""
"20250701","5호선","송정","6784","6506","20250704",""
"20250701","5호선","마곡","15434","15531","20250704",""
"20250701","5호선","발산","25592","25970","20250704",""
"20250701","5호선","우장산","16373","16305","20250704",""
"20250701","5호선","화곡","30684","28761","20250704",""
"20250701","5호선","까치산","29969","28976","20250704",""
"20250701","5호선","신정(은행정)","14878","12384","20250704",""
"20250701","5호선","목동","18199","19711","20250704",""
"20250701","5호선","오목교(목동운동장앞)","22954","24273","20250704",""
"20250701","5호선","양평","9298","9125","20250704",""
"20250701","5호선","영등포구청","5581","5630","20250704",""
"20250701","5호선","영등포시장","13226","13309","20250704",""
"20250701","5호선","신길","5358","5752","20250704",""
"20250701","5호선","여의도","33335","35421","20250704",""
"20250701","5호선","여의나루","12851","14593","20250704",""
"20250701","5호선","마포","16471","16816","20250704",""
"20250701","5호선","공덕","16545","17212","20250704",""
"20250701","5호선","애오개","7329","7152","20250704",""
"20250701","5호선","충정로(경기대입구)","5717","5823","20250704",""
"20250701","5호선","서대문","24090","24400","20250704",""
"20250701","5호선","광화문(세종문화회관)","36877","38909","20250704",""
"20250701","5호선","종로3가","14535","14606","20250704",""
"20250701","5호선","을지로4가","7559","7434","20250704",""
"20250701","5호선","동대문역사문화공원(DDP)","3499","3878","20250704",""
"20250701","5호선","청구","3886","3615","20250704",""
"20250701","5호선","신금호","7126","7557","20250704",""
"20250701","5호선","행당","8758","7917","20250704",""
"20250701","5호선","왕십리(성동구청)","4874","5083","20250704",""
"20250701","5호선","마장","6175","5703","20250704",""
"20250701","5호선","답십리","17488","15912","20250704",""
"20250701","5호선","장한평","21093","21004","20250704",""
"20250701","5호선","군자(능동)","12366","13418","20250704",""
"20250701","5호선","아차산(어린이대공원후문)","15435","15108","20250704",""
"20250701","5호선","광나루(장신대)","12129","11753","20250704",""
"20250701","5호선","천호(풍납토성)","20624","20179","20250704",""
"20250701","5호선","강동","20425","20034","20250704",""
"20250701","5호선","길동","9434","9594","20250704",""
"20250701","5호선","굽은다리(강동구민회관앞)","10592","10249","20250704",""
"20250701","5호선","명일","8784","8721","20250704",""
"20250701","5호선","고덕","11749","11292","20250704",""
"20250701","5호선","상일동","16153","15318","20250704",""
"20250701","5호선","둔촌동","13457","13308","20250704",""
"20250701","5호선","올림픽공원(한국체대)","5003","4063","20250704",""
"20250701","5호선","방이","8391","8514","20250704",""
"20250701","5호선","오금","4215","4432","20250704",""
"20250701","5호선","개롱","7499","7743","20250704",""
"20250701","5호선","거여","11213","11036","20250704",""
"20250701","5호선","마천","7964","7169","20250704",""
"20250701","5호선","강일","6478","6218","20250704",""
"20250701","5호선","미사","18806","19175","20250704",""
"20250701","5호선","하남풍산","4891","4939","20250704",""
"20250701","5호선","하남시청(덕풍·신장)","9202","8705","20250704",""
"20250701","5호선","하남검단산","6840","6466","20250704",""
"20250701","6호선","응암","19043","19008","20250704",""
"20250701","6호선","역촌","4199","5016","20250704",""
"20250701","6호선","불광","5210","4919","20250704",""
"20250701","6호선","독바위","3010","3162","20250704",""
"20250701","6호선","연신내","1","0","20250704",""
"20250701","6호선","구산","9085","7120","20250704",""
"20250701","6호선","새절(신사)","13613","12694","20250704",""
"20250701","6호선","증산(명지대앞)","10147","10048","20250704",""
"20250701","6호선","디지털미디어시티","16148","17555","20250704",""
"20250701","6호선","월드컵경기장(성산)","4340","4511","20250704",""
"20250701","6호선","마포구청","16106","14650","20250704",""
"20250701","6호선","망원","15897","16798","20250704",""
"20250701","6호선","합정","13367","13593","20250704",""
"20250701","6호선","상수","9874","10740","20250704",""
"20250701","6호선","광흥창(서강)","11025","10538","20250704",""
"20250701","6호선","대흥(서강대앞)","10240","10654","20250704",""
"20250701","6호선","공덕","21191","20467","20250704",""
"20250701","6호선","효창공원앞","8319","7484","20250704",""
"20250701","6호선","삼각지(전쟁기념관)","7933","7136","20250704",""
"20250701","6호선","녹사평(용산구청)","5257","5296","20250704",""
"20250701","6호선","이태원","10564","11283","20250704",""
"20250701","6호선","한강진","8865","10710","20250704",""
"20250701","6호선","버티고개","2412","2332","20250704",""
"20250701","6호선","약수","4327","4151","20250704",""
"20250701","6호선","청구","4113","4112","20250704",""
"20250701","6호선","신당","9508","9828","20250704",""
"20250701","6호선","동묘앞","8563","8802","20250704",""
"20250701","6호선","창신","3910","3230","20250704",""
"20250701","6호선","보문","8784","8134","20250704",""
"20250701","6호선","안암(고대병원앞)","12751","12860","20250704",""
"20250701","6호선","고려대(종암)","9029","8612","20250704",""
"20250701","6호선","월곡(동덕여대)","12675","12443","20250704",""
"20250701","6호선","상월곡(한국과학기술연구원)","7086","6321","20250704",""
"20250701","6호선","돌곶이","12276","11394","20250704",""
"20250701","6호선","석계","13090","13281","20250704",""
"20250701","6호선","태릉입구","6035","6556","20250704",""
"20250701","6호선","화랑대(서울여대입구)","12109","9840","20250704",""
"20250701","6호선","봉화산(서울의료원)","9384","8826","20250704",""
"20250701","6호선","신내","1","0","20250704",""
"20250701","7호선","장암","2936","1165","20250704",""
"20250701","7호선","도봉산","9176","10459","20250704",""
"20250701","7호선","수락산","13112","13042","20250704",""
"20250701","7호선","마들","14560","14232","20250704",""
"20250701","7호선","노원","21426","22624","20250704",""
"20250701","7호선","중계","15976","14893","20250704",""
"20250701","7호선","하계","19177","18002","20250704",""
"20250701","7호선","공릉(서울과학기술대)","12766","12583","20250704",""
"20250701","7호선","태릉입구","8617","8112","20250704",""
"20250701","7호선","먹골","10869","11012","20250704",""
"20250701","7호선","중화","11316","11339","20250704",""
"20250701","7호선","상봉","18057","17305","20250704",""
"20250701","7호선","면목","15509","15109","20250704",""
"20250701","7호선","사가정","16863","16997","20250704",""
"20250701","7호선","용마산(용마폭포공원)","6078","5983","20250704",""
"20250701","7호선","중곡","12063","11152","20250704",""
"20250701","7호선","군자(능동)","15972","12931","20250704",""
"20250701","7호선","어린이대공원(세종대)","14454","14383","20250704",""
"20250701","7호선","건대입구","14127","14404","20250704",""
"20250701","7호선","자양(뚝섬한강공원)","9282","9096","20250704",""
"20250701","7호선","청담","20897","22487","20250704",""
"20250701","7호선","강남구청","18159","20213","20250704",""
"20250701","7호선","학동","26312","26937","20250704",""
"20250701","7호선","논현","21558","21975","20250704",""
"20250701","7호선","반포","7091","6786","20250704",""
"20250701","7호선","고속터미널","16612","15125","20250704",""
"20250701","7호선","내방","16267","16460","20250704",""
"20250701","7호선","이수","18168","17799","20250704",""
"20250701","7호선","남성","12307","11702","20250704",""
"20250701","7호선","숭실대입구(살피재)","13223","13316","20250704",""
"20250701","7호선","상도","12650","12541","20250704",""
"20250701","7호선","장승배기","10346","10145","20250704",""
"20250701","7호선","신대방삼거리","16414","15773","20250704",""
"20250701","7호선","보라매","7111","7543","20250704",""
"20250701","7호선","신풍","13102","12236","20250704",""
"20250701","7호선","대림(구로구청)","9321","9275","20250704",""
"20250701","7호선","남구로","17113","18035","20250704",""
"20250701","7호선","가산디지털단지","52318","52503","20250704",""
"20250701","7호선","철산","23320","23797","20250704",""
"20250701","7호선","광명사거리","22710","22490","20250704",""
"20250701","7호선","천왕","13002","12539","20250704",""
"20250701","7호선","온수(성공회대입구)","10823","9607","20250704",""
"20250701","8호선","암사역사공원","7290","6405","20250704",""
"20250701","8호선","암사","17606","16360","20250704",""
"20250701","8호선","천호(풍납토성)","18349","20376","20250704",""
"20250701","8호선","강동구청","12029","12195","20250704",""
"20250701","8호선","몽촌토성(평화의문)","7897","8013","20250704",""
"20250701","8호선","잠실(송파구청)","19573","22486","20250704",""
"20250701","8호선","석촌","9266","10252","20250704",""
"20250701","8호선","송파","10956","10837","20250704",""
"20250701","8호선","가락시장","9147","9933","20250704",""
"20250701","8호선","문정","26488","27837","20250704",""
"20250701","8호선","장지","18817","17419","20250704",""
"20250701","8호선","복정","10428","9040","20250704",""
"20250701","8호선","산성","6708","6860","20250704",""
"20250701","8호선","남한산성입구(성남법원.검찰청)","13485","12213","20250704",""
"20250701","8호선","단대오거리","12833","12527","20250704",""
"20250701","8호선","신흥","5575","5700","20250704",""
"20250701","8호선","수진","5890","5529","20250704",""
"20250701","8호선","모란","5143","4022","20250704",""
"20250701","8호선","남위례","8317","8144","20250704",""
"20250701","9호선","개화","2942","1963","20250704",""
"20250701","9호선","김포공항","6462","10895","20250704",""
"20250701","9호선","공항시장","3142","3324","20250704",""
"20250701","9호선","신방화","7781","7687","20250704",""
"20250701","9호선","마곡나루(서울식물원)","16086","15734","20250704",""
"20250701","9호선","양천향교","11690","12077","20250704",""
"20250701","9호선","가양","24391","24157","20250704",""
"20250701","9호선","증미","9418","9331","20250704",""
"20250701","9호선","등촌","14332","13847","20250704",""
"20250701","9호선","염창","19407","18525","20250704",""
"20250701","9호선","신목동","5286","4897","20250704",""
"20250701","9호선","선유도","10520","9801","20250704",""
"20250701","9호선","당산","20773","20176","20250704",""
"20250701","9호선","국회의사당","20404","21371","20250704",""
"20250701","9호선","여의도","35615","34538","20250704",""
"20250701","9호선","샛강","7474","7636","20250704",""
"20250701","9호선","노량진","26930","26313","20250704",""
"20250701","9호선","노들","5505","4543","20250704",""
"20250701","9호선","흑석(중앙대입구)","9638","10102","20250704",""
"20250701","9호선","동작(현충원)","1914","1651","20250704",""
"20250701","9호선","구반포","2296","2124","20250704",""
"20250701","9호선","신반포","5443","5015","20250704",""
"20250701","9호선","고속터미널","15292","19259","20250704",""
"20250701","9호선","사평","4694","4643","20250704",""
"20250701","9호선","신논현","32967","32967","20250704",""
