시군구,단지명,전용면적(㎡),거래금액(만원),층,건축년도,도로명
경기도 수원시 영통구 원천동,원천레이크파크,84.79,"59,900",11,1999,중부대로448번길 28
경기도 수원시 영통구 원천동,원천레이크파크,84.79,"59,900",11,1999,중부대로448번길 28
대전광역시 대덕구 법동,삼익소월,84.85,"22,500",8,1993,동춘당로 160
부산광역시 영도구 봉래동4가,영도센트럴에일린의뜰,84.94,"48,500",10,2023,태종로 172
부산광역시 영도구 청학동,한라비치,84.83,"16,700",21,1994,태종로 428
서울특별시 양천구 신월동,롯데캐슬,84.966,"100,000",4,2014,중앙로29길 61
광주광역시 광산구 신창동,삼능,84.986,"24,000",5,2003,신창로 20
경기도 수원시 영통구 영통동,신나무실휴먼시아5단지,49.59,"30,600",18,1997,영통로290번길 25
충청북도 청주시 흥덕구 복대동,아름다운나날영조1,59.293,"19,200",9,2003,증안로 21
경상북도 구미시 공단동,우림필유,59.308,"16,600",5,2012,수출대로3길 130
경기도 용인시 기흥구 하갈동,청명호수신안인스빌1단지,84.99,"38,500",14,2009,덕영대로 1871
경기도 시흥시 은행동,대우푸르지오3차,59.258,"34,500",20,1998,대은로 62
경기도 남양주시 다산동,다산한강반도유보라,84.9802,"80,500",25,2019,다산지금로146번길 67
충청북도 충주시 연수동,연수세영리첼1단지,84.9948,"30,000",9,2014,연수동산로 37
경기도 구리시 인창동,주공2,39.86,"28,000",4,1997,건원대로76번길 39
충청남도 서산시 읍내동,대림동신,101.88,"15,300",9,1994,부춘2로 47
충청남도 천안시 서북구 두정동,부경파크빌,84.9606,"22,500",9,2003,늘푸른1길 19
전라남도 순천시 서면 선평리,포레나순천,84.9589,"37,200",5,2023,선평동선길 12
충청북도 충주시 연수동,세원,59.52,"8,300",4,1991,번영대로 120
경기도 남양주시 다산동,플루리움3단지,162.454,"78,000",22,2001,도농로 34
경상북도 영천시 완산동,e편한세상센텀스타시티영천2블럭,84.7086,"31,700",6,2021,완산9길 16
경상남도 창원시 진해구 풍호동,경동윈츠빌,115.9211,"23,500",5,2004,풍호로3번길 14
경기도 안성시 공도읍 만정리,안성E.TRINITY공도센트럴파크,59.2958,"25,500",15,2023,도화길 67-21
경상북도 영천시 완산동,동신그랜드맨션,84.855,"6,500",3,1989,강남길 37-10
경기도 평택시 포승읍 석정리,한라파인빌(구한라공조사원아파트),49.94,"6,000",7,1993,용소길 7-16
경상북도 경주시 용강동,두산위브트레지움,84.7227,"40,000",19,2020,유림로 107
충청북도 충주시 중앙탑면 용전리,미진이지비아,59.9941,"15,300",8,2017,기업도시로 189
충청남도 천안시 동남구 청당동,청수 포레나(FORENA),90.8872,"31,000",1,2015,청수14로 13
경기도 가평군 가평읍 달전리,세대넥스빌,84.84,"13,000",4,1996,달전로 59
경상북도 경산시 하양읍 서사리,경산하양제일풍경채어바니티,84.8769,"36,000",22,2024,서사도리로 11
경기도 군포시 산본동,한양백두,96.359,"57,000",12,1994,수리산로 244
충청북도 진천군 이월면 송림리,아담맨션,59.49,"6,100",3,1993,송현길 32
경기도 군포시 산본동,우륵,58.46,"39,000",6,1994,산본천로 33
경기도 용인시 기흥구 상하동,강남마을한라비발디,84.99,"44,700",18,2004,강남동로 128
경상남도 김해시 내동,연지공원푸르지오,84.8621,"55,300",22,2022,금관대로 1407
경상남도 창원시 진해구 남문동,시티프라디움1차아파트,59.9808,"17,400",13,2017,웅천동로 16
충청남도 아산시 둔포면 송용리,신영모닝빌아파트,39.797,"7,000",3,2000,윤보선로450번길 3
경기도 군포시 산본동,래미안하이어스,84.97,"94,000",6,2010,금산로 91
경상북도 영천시 화룡동,태평스카이맨션,133.17,"12,000",10,1990,장수로 10
충청북도 청주시 청원구 오창읍 양청리,오창롯데캐슬더하이스트,70.9779,"37,000",38,2018,중부로 760
전라남도 목포시 옥암동,모아엘가,84.9833,"21,400",3,2010,남악2로22번길 58
충청남도 천안시 서북구 쌍용동,월봉청솔1단지,50.16,"11,900",13,2000,월봉4로 140-9
전라남도 순천시 조례동,주공2,53.85,"11,500",3,1986,유동길 1
경상남도 통영시 광도면 죽림리,코아루2단지,84.9894,"21,700",2,2018,향교옆길 33-32
경상남도 창원시 마산회원구 내서읍 상곡리,신성,84.9496,"16,200",7,2003,상곡로 21
경기도 오산시 금암동,세교 센트럴파크,84.82,"34,400",11,2009,여계산로 60
경기도 광명시 철산동,철산래미안자이,59.67,"97,000",6,2009,디지털로 56
경상북도 구미시 임은동,구미임은삼도뷰엔빌W,76.7395,"22,300",13,2015,왕산로 28-12
경상북도 김천시 율곡동,경북혁신케이씨씨스위첸,84.84,"28,500",21,2013,혁신5로 11
경기도 평택시 고덕동,고덕국제신도시금호어울림,59.97,"40,000",6,2023,고덕로 191
충청북도 청주시 흥덕구 신봉동,한성,50.86,"7,300",1,1988,1순환로 451
경상남도 창원시 마산합포구 월영동,마린애시앙부영,124.6639,"50,700",25,2019,가포순환로 33
충청남도 천안시 동남구 신방동,초원그린타운,39.27,"7,600",14,1998,신촌4로 16
경기도 평택시 고덕동,호반써밋고덕신도시,84.9601,"59,500",7,2021,고덕국제1로 50
경기도 용인시 기흥구 동백동,호수마을어울림,84.8,"44,250",12,2006,동백8로 27
충청남도 천안시 동남구 문화동,천안역필하우스에듀시티(1단지),73.9949,"35,000",8,2022,성황로 40
충청남도 당진시 송악읍 중흥리,세종그랑시아,59.69,"6,400",2,2005,중흥1길 51
전라남도 광양시 중동,무등파크,84.96,"8,000",5,1994,중마로 230
경기도 평택시 서정동,서정벨루스하임,32.45,"8,000",5,2016,탄현로 88
충청북도 청주시 상당구 탑동,센트럴힐데스하임,84.847,"41,000",5,2022,용담로 50
경상북도 포항시 북구 두호동,산호그린맨션6,82.6,"6,000",2,1992,삼흥로 6-22
충청남도 서산시 운산면 갈산리,서정운산마을,39.9,"3,400",2,2000,운암로 886
충청북도 청주시 청원구 오창읍 창리,오창모아미래도와이드파크,59.9853,"23,700",2,2016,2산단4로 45
경상북도 포항시 남구 대도동,"명성대도타운(가,나)",49.74,"5,600",2,1987,희망대로 783
경상북도 영주시 휴천동,남산현대,59.76,"11,500",9,1998,구성로142번길 20
경상북도 경산시 중방동,중방e-편한세상3단지,101.49,"39,800",4,2010,경안로56길 14
