,store,si-do-gu,address,phone
0,신대방삼거리역점,서울 동작구,서울특별시 동작구 상도로 60 (대방동) 1층~2층,02-823-2377
1,여의도포스트타워점,서울 영등포구,서울특별시 영등포구 여의나루로 60 포스트타워 여의도 1층 ,02-2135-5321
2,대림역점,서울 영등포구,서울특별시 영등포구 도림로 140 대림빌딩 101호,02-834-1000
3,충정로역점,서울 서대문구,서울특별시 서대문구 경기대로 26-26 어바니엘충정로 201동 지하1층 102호,02-363-0807
4,서서울공원점,서울 양천구,서울특별시 양천구 남부순환로58길 37 신월동 205-36,070-4277-6756
5,경희대 청운관점,서울 동대문구,서울 동대문구 경희대로 26 청운관 지하1층,.
6,덕성여대점,서울 강북구,서울시 강북구 삼양로 547 1~3층,02-6093-0011
7,당산1가점,서울 영등포구,"서울특별시 영등포구 양산로 146, DE' HAR (당산동1가 256,258)",02-2679-7942
8,메리츠봉래타워점,서울 중구,서울시 중구 칠패로 28 메리츠강북타워 1층,02-753-8835
9,길동포유르센티점,서울 강동구,서울특별시 강동구 진황도로 104 1층 101~102호(길동 458) .,02-487-9997
10,고덕비즈밸리점,서울 강동구,서울특별시 강동구 고덕비즈밸리로 38 (고덕동) KS타워 101호~102호,070-7782-0055
11,파르나스몰점,서울 강남구,"서울특별시 강남구 테헤란로 521 (삼성동, 파르나스타워) 파르나스몰 내 B1층 F-3a호",02-3453-1024
12,석계역점,서울 노원구,서울시 노원구 화랑로 325 1층,02-942-1345
13,국민대 성곡도서관점,서울 성북구,"서울특별시 성북구 정릉로 77 (정릉동, 국민대학교) 도서관 지하1층",02-910-4954
14,경희대 경영대점,서울 동대문구,서울특별시 동대문구 경희대로 26 (회기동) 경영대학 3층,.
15,명동역점,서울 중구,"서울특별시 중구 퇴계로 131 (충무로2가, 신일빌딩) .",02-752-5925
16,왕십리역점,서울 성동구,"서울특별시 성동구 왕십리광장로 17 (행당동, 왕십리민자역사) 비트플렉스몰 3층 영풍문고 내",02-2200-1303
17,소월아트홀점,서울 성동구,서울특별시 성동구 왕십리로 275-1 (행당동 133-2) .,02-2294-7002
18,송파거여역점,서울 송파구,"서울특별시 송파구 오금로 513 (위례빌딩,1층)  거여동 37",02-449-6232
19,서초마제스타시티점,서울 서초구,서울특별시 서초구 서초대로38길 12 (힐스테이트서리풀) .,02-6411-0063
20,잠실새내역점,서울 송파구,"서울특별시 송파구 올림픽로12길 8 (잠실동, 제일빌딩) .",02-416-2085
21,중랑역점,서울 중랑구,서울특별시 중랑구 망우로 210 (상봉동) .,02.6085.7858
22,강변역점,서울 광진구,"서울 광진구 구의강변로 64, 구의아크로리버 1층 구의동 589-10",070-7802-0303
23,용산아이파크몰점,서울 용산구,"서울특별시 용산구 한강대로23길 55, 서관 4층 (한강로3가, 용산역) .",02-2012-0473
24,등촌역점,서울 강서구,서울특별시 강서구 등촌로 229 (등촌동) 1~2층,02-2655-2290
25,오류동점,서울 구로구,"서울특별시 구로구 경인로 224 (오류동, 칸타빌레5차) .",02-2625-4854
26,잠실학원사거리점,서울 송파구,"서울특별시 송파구 석촌호수로 130 (삼전동, 신원빌딩) 삼전동 1-1외 3필지",02-3431-4662
27,발산역점,서울 강서구,서울특별시 강서구 강서로 357 (내발산동) .,02-2663-4976
28,목동파리공원점,서울 양천구,"서울특별시 양천구 목동서로 57 (목동, 현대파리지앙) .",02-2645-8497
29,북한산DI점,서울 은평구,"서울특별시 은평구 북한산로 248-8 (진관동, 자돈) .",02-3157-4843
30,신도림테크노마트점,서울 구로구,"서울특별시 구로구 새말로 97 (구로동, 신도림테크노마트) 104~106호",02-2111-1300
31,KG타워점,서울 중구,"서울특별시 중구 통일로 92 (순화동, 케이지타워) 1층",02-777-5559
32,올림픽공원역점,서울 송파구,"서울특별시 송파구 올림픽로 424 (방이동, 올림픽공원) (A-3동 C구역 )",02-420-9997
33,신촌역점,서울 마포구,"서울특별시 마포구 신촌로 88 (노고산동, 태영빌딩) 2층",02-325-7588
34,노원역점,서울 노원구,"서울특별시 노원구 노해로 488 (상계동, 근호빌딩) 1층",02-933-8824
35,가산대륭22차점,서울 금천구,"서울특별시 금천구 가산디지털1로 146 109,110,111호",02-2059-1131
36,연트럴파크점,서울 마포구,서울특별시 마포구 동교로 233 (연남동) .,02-335-7805
37,강남우리라운지점,서울 강남구,서울특별시 강남구 테헤란로 301 역삼동 701-02 삼정빌딩 L층,02-566-1002
38,이태원역점,서울 용산구,서울특별시 용산구 이태원로 180 2층~3층,02-749-8752
39,오목교역점,서울 양천구,"서울특별시 양천구 오목로 344 (목동, 청학빌딩) 1층",02-2062-8405
40,시흥사거리점,서울 금천구,서울특별시 금천구 시흥대로 225 1층 시흥동 994-9,02-804-9226
41,강남역2점,서울 강남구,"서울특별시 강남구 강남대로 422 (역삼동) 역삼동816,816-7,816-8",02-568-9056
42,숙대입구점,서울 용산구,서울특별시 용산구 청파로 276 2층~3층,02-704-9636
43,홍제천점,서울 서대문구,"서울특별시 서대문구 홍제내길 52,1~2층 (홍제동 361-49) .",02-396-0903
44,종각역점,서울 종로구,서울특별시 종로구 종로 60-1 종로2가 102-3,02-736-3399
45,장승배기역점,서울 동작구,"서울특별시 동작구 장승배기로11가길 11, 1층 105호 (상도동, 상도파크자이)",02-812-9330
46,중앙대점,서울 동작구,서울특별시 동작구 흑석로 77 (흑석동) 1~4층 .,02-3280-3280
47,독립문역점,서울 종로구,"서울특별시 종로구 통일로 230 (무악동, 경희궁롯데캐슬) 상가동 1층,117호  .",010-2594-7308
48,성균관대점,서울 종로구,서울특별시 종로구 성균관로 6 (명륜2가 204) 1~4층,02-743-8526
49,태릉입구역점,서울 노원구,"서울특별시 노원구 화랑로 453 (공릉동, 그린힐) 1층",02-976-0078
50,구로디지털점,서울 구로구,"서울특별시 구로구 디지털로31길 12  1층 105,106호 (구로동 197-21)",070-7576-4842
51,청계천점,서울 종로구,"서울특별시 종로구  청계천로 81 1,2,3,4층",02-735-5462
52,청담삼성로점,서울 강남구,"서울특별시 강남구 삼성로119길 8 (삼성동, 강남대학교청담카이로스빌딩) 1층",02-541-7755
53,고덕그라시움후문점,서울 강동구,"서울특별시 강동구 동남로82길 77-1 (고덕동) 2층~4층,고덕동 258-4",02-2088-0831
54,보라매역점,서울 영등포구,서울특별시 영등포구 여의대방로 145 (세인트빌딩) 신길동 505 1층,02-845-1097
